mattgphoto,I thought #UnitedAirlines was supposed to be good? #GivenTheRunaround @united
doughertyevan_,RT @steel71heavy: N876UA making an appearance at @PITairport last night! This was the third time @united sent the bird here in a week and a…
steel71heavy,N876UA making an appearance at @PITairport last night! This was the third time @united sent the bird here in a week… https://t.co/hGW2ZMC8fm
PamelaGrossJill,"@hannahg11 @AmericanAir Ug - they are all awful, currently on a delay with #unitedAIRLINES I find I always have a p… https://t.co/UgoBx708tZ"
Danielavoley11,@united @astros Or when luggage disappears and airline avoids responsibility. Terrible experience in Panama. #unitedAIRLINES #panama
mlhowell1991,"@UnitedAirlines #unitedairlines Thanks to Mavin at the Roanoke, VA airport I’m arriving earlier than expected after… https://t.co/WiHbJTXLZ6"
cadelarge,#Expectationsetting is such an important aspect of customer experience.  #cxwin here #unitedairlines! Simple and im… https://t.co/D9tpUP9fP9
larbi1881,⁦@weareunited⁩ #1millionmiles #unitedairlines #cdg Congratulations to our 1 Million Miles customers out of CDG toda… https://t.co/GsQlQh9P23
PlaneSpotIsCool,"RT @TykesAeroBlog: N37527 737-9 United Airlines flown to Grant County for storage

Flown Oct8 #KBFI to #KMWH Grant County as BOE127 for sto…"
TykesAeroBlog,"N37527 737-9 United Airlines flown to Grant County for storage

Flown Oct8 #KBFI to #KMWH Grant County as BOE127 fo… https://t.co/bwZCEjJjAO"
StatMediaNews,".@united Airlines, #Kingsland_Holdings agree for $250 million funding for @Avianca Holdings

#UnitedAirlines… https://t.co/yjdutPlDxj"
Brandon33045499,A #unitedairlines #staralliance 767-300 at Gate C11 ⁦@united⁩ https://t.co/GWNL5Smnzz
ChartersBus,"RT @TravelPulse: A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.    
https://t.co/8L1ldzPWCx
#unit…"
poppystarrolsen,@united my luggage is still lost after 5 days. I’m an Australian National team rider and in the US for an event. Al… https://t.co/5H1sy1DUJj
IamSusanRoberts,@United I just booked @JetBlue and paid $60 MORE for my fare on principle. You want $30 extra for a small bag and y… https://t.co/GOe8GRXsRF
TimothyPitcher,@ae4445t Sounds like my last trip on #unitedAIRLINES
kolbywade,Very embarrassed by companies like #NBA #Blizzard #Marriott #AmericanAirlines #UnitedAirlines #Delta for succumbing… https://t.co/AtkiSQvBnv
Jennifer_Jones,Come on #unitedAIRLINES in Houston. You cant get more help for wheelchair international passengers after a 10 hour flight? Shameful!
lilkat1581,Congratulations to Marri Carr on her 25 years of service with @united  Thank you so much for all you continue to do… https://t.co/mEsJ0idDEu
FancyNancyReid,@united Hey United...why is it every time I choose a flight...fill out all the info and right as I’m about to purch… https://t.co/poXnlvls6S
annmariastat,"@MichelePlayfair Honestly, I thought about that because I needed to send another $180 for status on #UnitedAirlines… https://t.co/MMmGw2n16m"
IamSusanRoberts,@UnitedAirlines I just booked @JetBlue and paid $60 MORE for my fare on principle. You want $30 extra for a small b… https://t.co/eXz6uHnR0T
Lindz5280,💙💙💙 the new paint colors #UnitedAirlines @weareunited https://t.co/f3hTPdyDbY
cadamesofficial,"It’s time to head back home!
Once I get back, all the hugs are welcomed.
#nationalhugadrummerday #travelingmusician… https://t.co/fxtM1Nd046"
EvaPhanton,Thought I was going to Chicago but now I don’t know if I’ll get off this plane #unitedAIRLINES #flight1686 this is… https://t.co/IV0B76hxj9
edelweiss330,RT @speedbirdhd: New @weareunited livery at @flyLAXairport - #united #UnitedAirlines #ua #boeing #boeinglovers #boeing737 #b737 #aviators #…
nsyazaa_,"RT @TravelPulse: A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.    
https://t.co/8L1ldzPWCx
#unit…"
HiClassMag,"RT @TravelPulse: A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.    
https://t.co/8L1ldzPWCx
#unit…"
TravelPulse,A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.… https://t.co/psLqLkQwNI
davidaKaplan,"RT @kambrmedia: “Whether you're in an alliance or you do it for equity ownership's sake, is a tactic,” says @united’s Kirby. “It's not the…"
joevitodeluca,"RT @kambrmedia: “Whether you're in an alliance or you do it for equity ownership's sake, is a tactic,” says @united’s Kirby. “It's not the…"
kambrmedia,"“Whether you're in an alliance or you do it for equity ownership's sake, is a tactic,” says @united’s Kirby. “It's… https://t.co/ueHdaHfmmB"
michelerenee16,"And they offer us a hotel? So what, we can stay for two hours since they didn’t tell us until 2am that our flight i… https://t.co/dU0WbL1ilV"
UeichiVA,Same isle different seat and plane lol #travel #UnitedAirlines #hawaii #LosAngeles https://t.co/9skm8nbN6M
AviationTribune,United Airlines and Kingsland Holdings to Provide up to $250 Million of Financing to #Avianca #UnitedAirlines… https://t.co/8JJC4YX42q
Ashwani3985,RT @simple_flying: United Boeing 787-9 Dreamliner Diverts To Bangor Following Depressurisation https://t.co/PoGZ8uYkld #cabindepressurisati…
simple_flying,United Boeing 787-9 Dreamliner Diverts To Bangor Following Depressurisation https://t.co/PoGZ8uYkld… https://t.co/OPhz6liaz5
Jeffsthoughts1,@flySFO @UnitedAirlines @TSA how is this ok? #unitedAIRLINES #tsa #sfo #airtravel #greed #fixit #grift https://t.co/kRFNqMeein
MKinsch,Thanks capt. Thomas for my time on the flight deck tonight my first commercial landing #unitedAIRLINES does it rt w… https://t.co/oAAFUOwuSN
AviationFigures,"A #UnitedAirlines bound for Amsterdam carrying 200 passengers made an emergency landing at Bangor, Maine late on Su… https://t.co/YQRihZy9sM"
Gidon_it,Impressed with dinner tonight! Steak night at 35k. Not quite @steak48 though?! #MondayMood #travel #iah #SFO… https://t.co/4VS5KGqeB7
HoldawayIan,RT @QuibbleCritic: Who did this 😂😂😂😂😂 #FunnyBeacauseItsTrue #flight3411  @united #unitedflight3411 #unitedAIRLINES #NewUnitedAirlinesMottos…
DavisSociologis,"RT @DrMilmon: At boarding gate, told there was no more space and that I HAD to check my bag. Then I get on and see this all around my seat.…"
JcOrdorica,@united Ok! Because this is relevant!!! #UnitedAirlines suck https://t.co/LzTgqMjYWN
JcOrdorica,@united Yeah! I imagen that you are súper sorry in lithium tech office. #UnitedAirlines you suck
RobbRoby,"#flythefriendlyskies #unitedairlines #finallyairborne @ New York, New York https://t.co/vdLScdzEF9"
JcOrdorica,Fuck you #UnitedAirlines you waste my entire day regardless of that you miserable bastards just gave me 10 dlls for… https://t.co/RlMc8PFQbq
AviationKord,RT @speedbirdhd: New @weareunited livery at @flyLAXairport - #united #UnitedAirlines #ua #boeing #boeinglovers #boeing737 #b737 #aviators #…
AviacionVEN,#unitedairlines #boeing757 landing at #lax. hd_melbourne_aviation https://t.co/3dqyX6VrSM
claimcompanies,"RT @toripohlner: Hey @united , we are delayed for the 3rd time this weekend on flight 2134 to Houston. Pleeaaseee hold flight 3542 to XNA f…"
toripohlner,"Hey @united , we are delayed for the 3rd time this weekend on flight 2134 to Houston. Pleeaaseee hold flight 3542 t… https://t.co/Z4YpzQtzea"
ATAnalysis,RT @ATAnalysis: United Airlines offers very inconsistent premium cabin offerings. In this article: everything you need to know about which…
DreamsDieInReno,Boarding flight to Reno from Chicago. It's the only gate with hillbilly mountain people😡 #renosucks #Reno #unitedairlines
ChartersBus,"RT @TravelPulse: A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.   
https://t.co/cs5TOHUDE9
#unite…"
TravelPulse,"A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.   
https://t.co/cs5TOHUDE9… https://t.co/jhnTJXDkUi"
ChartersBus,"RT @TravelPulse: A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.  
https://t.co/tTZtdZ6ab4
#united…"
AndreMoten,RT @TravelCTM_UK: .@united passengers in Chicago have the opportunity to score business class seats &amp; upgrades on flights to London on the…
Cramx3,Does @united clean their planes? Not sure if this scum next to my seat is snot or puke with hair mixed in… https://t.co/SdFsj9zTaW
ClaesAct,Quick overnight hop to SFO. #nonstoptravel #unitedairlines https://t.co/IERgfwuq3f
gina_packer,RT @HongKongTourism: Looking for your next vacation spot? #UnitedAirlines has incredible deals on flights to Hong Kong. @united 📷: @antonio…
flyavp,"""An investment in travel is an investment in yourself.""
.
📸: Jacob Clarke
.
#TravelMotivation #MondayMotivation… https://t.co/Kj5OTOpw1c"
byronmcwilliams,Supposedly we are on ground delay in Houston due to weather. Either #UnitedAirlines is not telling the truth or the… https://t.co/U5eL62QSVD
paulamhall,King David did not have this view and he wrote: “...when I consider the heavens the work of your fingers... “... I… https://t.co/NCjxIDOJll
sugarclint,Ugh. Worst #unitedAIRLINES #fail I’ve ever had. 30 min delay turns into a 90 min delay turns into a 4 hr delay!  Ju… https://t.co/h8kgWRjQhu
ryan_m2019,@united .@united @unitedairlines on hold for almost 1.5 hours. Over 2.5 hours total today with customer service.… https://t.co/IYgGa9jPSS
irisaraceli17,When you pay 60$for an upgraded window seat so you dnt have a panick attack on the plane &amp; there’s no window &amp; then… https://t.co/3cqvdzhu4V
ryan_m2019,@united .@united @UnitedAirlines over 30 minutes on hold during my fourth call to customer service. #united #unitedAIRLINES #CustomerService
ryan_m2019,@united .@united @unitedairlines most likely not. Seems that your entire customer service organization is incompete… https://t.co/UJnR6HygXc
tuningelement,As seen on Hemispheres Magazine on United Airlines ✈ Get the best quality of sleep you deserve 😴 with the Sleep Nec… https://t.co/7eLMKC9K46
ryan_m2019,@united .@united @unitedairlines two supervisors hung up on me and a manager then lied to me. Appalling all around.… https://t.co/cY9vpIg31W
DirkOnTour,Checked-in for the flight back home. Now waiting for the first leg to Chicago. #insideflyernl #flyingonpoints2019… https://t.co/zAT3PXQNKs
djalexreyes,#BREAKING A United #unitedairlines Flight Out of #SFO Makes Emergency Landing in #Maine prayers to everyone involve… https://t.co/BqypUpbfOZ
ryan_m2019,.@united @unitedairlines Worst customer service ever!  #united #unitedAIRLINES #CustomerService
JacksonAirports,RT @csfernandez1977: Another excellent flight ! Thanks ! @weareunited @united #unitedAIRLINES #JacksonMs @JacksonAirports #Home Home ! http…
JetsonLes,"RT @JetsonLes: Airline Pilot Shortage Solutions at United, Delta, American &amp;#038; Southwest https://t.co/vKtq3S02Ml

#AvGeek #AvGeeks #airl…"
kmot_07979,"RT @TravelPulse: A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.  
https://t.co/tTZtdZ6ab4
#united…"
kowthajanaki,.@united  It’s disappointing to know that there are no power outlets to charge the phones and no #entertainment sys… https://t.co/VxrnZHYFLs
JPJets_Group,United Airlines DC 10 going around the runway after an attempt to land at Los Angeles International Airport.… https://t.co/hCl4uUNnF1
speedbirdhd,New @weareunited livery at @flyLAXairport - #united #UnitedAirlines #ua #boeing #boeinglovers #boeing737 #b737… https://t.co/TuYclXVh2L
TravelCTM_UK,.@united passengers in Chicago have the opportunity to score business class seats &amp; upgrades on flights to London o… https://t.co/Q1DvFoMQOt
csfernandez1977,Another excellent flight ! Thanks ! @weareunited @united #unitedAIRLINES #JacksonMs @JacksonAirports #Home Home ! https://t.co/NkBCVqXlQN
Chewystein,My ride to Hawaii. Here I come Honolulu. #travel #hawaii #unitedairlines #boeing777 #johnwick3 https://t.co/WwPIIlocvU
TravelPulse,"A cabin pressure issue caused a @united Airlines flight to perform an emergency landing.  
https://t.co/tTZtdZ6ab4… https://t.co/eVboGAoyPY"
katsjourney,Thanks @united! Excellent cover story on Costa Rica.  I'm an immigrant living there and you discovered new places f… https://t.co/A4sHwKCwV8
csfernandez1977,Excellent flight #BsAs #IAH #BuenosAiresHouston #UA818 #OvernightFlight #UnitedAirlines @weareunited @united https://t.co/zDgAJK6ko0
MeH_not_meh,Reeeeeeeeeealllllly tired post #NYCC19 but excited the Newark #UnitedAirlines lounge tea offerings inc. fresh ginge… https://t.co/2UyjZWKX3u
rickrow,"Don't ever plan on travelling non-stop from Amsterdam to San Francisco on #unitedAIRLINES non-stop.

Doesn't exist.… https://t.co/Hl7KnGj9jj"
Sdansarah,RT @irvintyan: It’s not every day that you board a #UnitedAirlines flight and find yourself part of the onboard entertainment. #AlmaDeutsch…
fcattant111,"RT @SanitaMusselaya: GIAD in CDG with sixteen young girls sharing the magic of aviation and listening to speeches from pilots, flight atten…"
Gen_Wheeler,"RT @TravelPulse: Today, @united launched its Aviate program to help adapt to the fact it will lose nearly half of its pilots over the next…"
Fareskart_us,"Ho Ho Ho 🎅 Christmas Flight Deals!
Save 💲 FLAT 48% 💲 on Flight Bookings
☎️ Call Now +1-855-684-6886
#DeltaFlights… https://t.co/MbYTxPoLgu"
MartalPato,Boarded with #unitedairlines!! The plane is huge!!! 😃👌hope it’s gonna be a comfortable ride 😊… https://t.co/NcriJTmTr2
mkeway4noddy,Boarded with #unitedAIRLINES!! The plane is huge! 😁👌 hope it’s a pleasant flight! 🤞😊 https://t.co/NR0etvkaO1
MartalPato,Finally ready for the first big trip together!!! #goingtoperu hard to look good in layers 😬 #couplegoals #holidays… https://t.co/QH667vm41Z
WildlingTravels,RT @mkeway4noddy: Finally ready for the first big trip together!!! #goingtoperu hard to look good in layers 😬 #couplegoals #holidays #adven…
mkeway4noddy,Finally ready for the first big trip together!!! #goingtoperu hard to look good in layers 😬 #couplegoals #holidays… https://t.co/aIZ6QZMcPU
PlaneSpotIsCool,"RT @TykesAeroBlog: N37528 737-9 United Airlines first flight

First flight Oct6 #KRNT to #KBFI flying as BOE128 unpainted.

Msn 64502/7752…"
TykesAeroBlog,"N37528 737-9 United Airlines first flight

First flight Oct6 #KRNT to #KBFI flying as BOE128 unpainted.

Msn 64502/… https://t.co/3xQCwNREmD"
pilipina,Totally just purchased internet on the plane for the first time in order to keep up with the @Chiefs game! #UnitedAirlines #ChiefsKingdom
EverytingIvry,Hi Dear @united I would like to know why my bags left on another flight? Why my bags are not in my flight or I was… https://t.co/5BIECqSJRf
RenaMason88,2.5+ delay with United and now we've been waiting for our luggage for 20 minutes. #UnitedAirlines sucks.
peachskone,"Aye @united why are the employee res flight benefits not working nationwide?
Trying to see my dad for his birthday… https://t.co/DZJUQY9BJ7"
irvintyan,It’s not every day that you board a #UnitedAirlines flight and find yourself part of the onboard entertainment.… https://t.co/iR5zg3JbGD
basam,"Usually when there are posts on airlines it’s complaints, so wanted to take the time to complement #unitedAIRLINES… https://t.co/4oiwUa2TO7"
_plumber_,#unitedAirlines UA1865 SFO -&gt; BOS diverted to DEN. I know it's fashionable to rage-gasm at every inconvenience. But… https://t.co/NdzubdTfzL
LoyalUA1K,Bye IAH; see ya in few days! #travel #unitedjourney #unitedairlines https://t.co/MKseipEmI0
claimcompanies,"RT @zachfowlermusic: So I paid for an upgrade in order to move myself from a middle seat to an aisle seat on a @UnitedAirlines flight, but…"
zachfowlermusic,"So I paid for an upgrade in order to move myself from a middle seat to an aisle seat on a @UnitedAirlines flight, b… https://t.co/XZ8pEow1zR"
Run2Wanderlust,"After a 4.5 hour delay, sitting in Mérida for most of it waiting on fuel while we dodge storms, and then finally ju… https://t.co/vMtVqbAdWw"
JasmineMcAlist2,"4+ hour delay with #unitedAIRLINES. Our flight to London leaves at 7:30. Bags, check in, and customs in 1 1/2hr!?!?… https://t.co/nWwjqbZpER"
aleisa1087,@UnitedAirlines I’m supposed to be on my honeymoon. A short flight from IND to Chicago has turned into 5 hours at I… https://t.co/zNMNHFeagB
JasmineMcAlist2,Absolutely worried. Your #honeymoon  is supposed to be filled with bliss and laughter. Mine has started with tears… https://t.co/120k6dvpX7
JasmineMcAlist2,Apparently #unitedAIRLINES  won’t reimburse passengers for “mechanical” issues. I get that safety is #1 but missing… https://t.co/eTSZqZHEj6
JasmineMcAlist2,#unitedAIRLINES is THE WORST! UA3843 has been delayed for four hours. Instead of getting a new flight we’ve been fo… https://t.co/rWIdzs1wXV
DrMilmon,"At boarding gate, told there was no more space and that I HAD to check my bag. Then I get on and see this all aroun… https://t.co/hb2jIVEAZI"
kisrani,How clean are flight. Me on United 2187 and see what I saw...#unitedAIRLINES https://t.co/ETXjSQxv7j
thatgirlinny,⁦@AmericanAir &amp; #unitedAIRLINES - Simple fact: We know #greed is your co-pilot in all decisions. #ownit #Travel Ame… https://t.co/z1sc52OeRk
JPJets_Group,"A Legendary United Airlines DC-10-30 Loud Take Off from Los Angeles International Airport -USA.

#unitedAIRLINES… https://t.co/Trekg9Wb4I"
UnitedRachel,Sunday flying is much more fun than Sunday driving #UnitedAIrlines https://t.co/07OTWcmIfZ
mcvietthao,"Meals on United Airlines #99 from Melbourne Australia to LAX California.
.
#vietthao  #mcvietthao  #unitedairlines… https://t.co/y1r7aF2wgc"
Clare10198026,#unitedairlines @unitedairlines Shout our the amazing crew from Greenbriar to ORD.  We thought we’d be delayed by t… https://t.co/OWvtXkfVP1
Stevevalentine,Best connection ever! I timed it. They were right.  Thanks #unitedairlines https://t.co/cinsdq8jl1
contrapuntist,"@united I don’t understand why you don’t provide a meal for an 8+ hour flight to Hawaii, but you do for a shorter i… https://t.co/oCuAbinxjU"
jAdor3_ReNee,"Now we’re back on the plane, still sitting at the gate. Gassing up @united 2 hours later... 🤦🏽‍♀️ #unitedAIRLINES https://t.co/ikh7M0wHmw"
jAdor3_ReNee,Thé @united FA asks who would like to sit in the emergency exit row so I volunteer as a way to spread out and avoid… https://t.co/e4sgOXri8O
jAdor3_ReNee,So I’m traveling on @united and for the inconvenience of sitting on the tarmac for an hour then having to deboard t… https://t.co/UJpKzpVp3k
UA_MarkClays,"RT @SanitaMusselaya: GIAD in CDG with sixteen young girls sharing the magic of aviation and listening to speeches from pilots, flight atten…"
TakeoffFox,"RT @TravelPulse: Today, @united launched its Aviate program to help adapt to the fact it will lose nearly half of its pilots over the next…"
TravelPulse,"Today, @united launched its Aviate program to help adapt to the fact it will lose nearly half of its pilots over th… https://t.co/G2yvJZaDDO"
TifaHolidays,"Famous International Pushkar Camel Fair 2019, Book your trip today
#pushkarcamelfair #unitedairlines #unitedkingdom… https://t.co/76iDPe3dKH"
claimcompanies,RT @GrahamDLedger: Delayed flight #UA929 - would be nice if @united #unitedAIRLINES were to able to make/offer complimentary ‘adult’ bevera…
Flight_Refunds,RT @GrahamDLedger: Delayed flight #UA929 - would be nice if @united #unitedAIRLINES were to able to make/offer complimentary ‘adult’ bevera…
GrahamDLedger,Delayed flight #UA929 - would be nice if @united #unitedAIRLINES were to able to make/offer complimentary ‘adult’ b… https://t.co/4UkYvzGwJ0
age_waller,Thanks for nothing United Airlines! After all of my years of loyalty and you schedule changes 3x on my wedding? Sha… https://t.co/wVHLFmmzzT
CarltonNewberry,@united The best #unitedAIRLINES will be able to do is offer empty apologies about not honoring the boarding past I… https://t.co/ijfUvJNkye
change_flight,To get the best quality of #UnitedAirlines #CustomerService call Airline Change Flights. Visit:-… https://t.co/scpkUe2daH
SiobhanLeachman,You can tell it's an American crew looking after this flight to NZ. There are NO announcements of the score!… https://t.co/GMv48F2Zw3
gregsfuller,"Im just sittin' out here watching airplanes - Denver International Airport

#dia #flyunited… https://t.co/MkM15LOUqy"
afullerrealtor,I left an item on flight UA297 from Houston to New Orleans about an hour ago.  How can I retrieve my lost item?  #unitedairlines
ssircole,"Landing in DC at night.

#3daytravels #unitedairlines #bonvoy #travel #dca #washingtondc @ Washington, District of… https://t.co/90VHSxbq3b"
Lonnie57384688,#unitedAIRLINES what a fantastic lunch. Lots of flavor and chicken was very tender and juicy. https://t.co/fY51shzfgf
Devoya,even good for if all it insures is that you can pay twice for something you had to cancel due to weather?! no more… https://t.co/naWwuojQdL
kutbi_d,"#unitedairlines
I was on a business class flight from Cleveland to Singapore, via Chicago and Tokyo. I had booked t… https://t.co/ybZ5uMcwU3"
AlisaVoris,"United pilot Nick Carter 
BZN to DEN was so kind and helpful!
Thank you! 
#unitedairlines #flyunited @united"
goonerleon10,@united Airlines is the absolute worst. Whole front of the plane empty and you still make everyone sit at the back.… https://t.co/Oa6ZRqh8Py
JoeEatsWorld,"Waiting to go home. I’m going to sleep soon.
.
.
.
.
#airport #sfo #airplanes #terminal3 #airportfood #southbay… https://t.co/ezoGj7Ncf6"
thamar_solorio,@united thank you so much for tracking me down to let me know that I left my laptop in the plane. And thanks much f… https://t.co/hlAdU1XKxq
SeanCallahanMD,Booking flight (Last minute) to #CHEST2019 and wondering why for an extra $19 #unitedAIRLINES offers to liquor up t… https://t.co/NM2zBXidPQ
adr171,@UnitedAirlines super lame that you refuse a business class ticket into the lounge. I’ll remember that next trip. #UnitedAirlines
Dchelootz,@UnitedAirlines It’s pretty sad when a company and their employees put customers second and give a paid seat for st… https://t.co/AkcaN53eOa
SanitaMusselaya,"GIAD in CDG with sixteen young girls sharing the magic of aviation and listening to speeches from pilots, flight at… https://t.co/gr9vcqYmhV"
Inspiredonce,"On the bright side, #UnitedAirlines brought the Stroopwafel back 😍"
vacayimpossible,"RT @samyeh: Arrived at #SFO, almost thought my first class ticket didnt give me access to #united club. #UnitedAirlines"
TravelPulse,"Today, @united launched its Aviate program to help adapt to the fact it will lose nearly half of its pilots over th… https://t.co/ob6LgLzrHu"
Poshtrvl,Miss the mature face of a crew member. Can they hold it together? Can they effectively handle passenger conflicts?… https://t.co/YFtDSzZLGZ
iuY0jx47oBZfIlO,"RT @UnitedFlyerHD: #tbt to my Houston days ... a United B777-200ER (N74007) taxiing to depart Houston IAH 15R. 
#avgeek #boeing #boeing777…"
minnnyme,RT @dianaterranova: I’d like to congratulate United Airlines on their diversity hire at the KOA airport in Hawaii @united  #UnitedAirlines…
cherringinsc,RT @dianaterranova: I’d like to congratulate United Airlines on their diversity hire at the KOA airport in Hawaii @united  #UnitedAirlines…
